trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fixation.started,key_resp.started,fixation.stopped,key_resp.keys,key_resp.corr,key_resp.rt,tilt,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,18.226523300167173,19.212780199944973,19.22894940013066,down,1,0.9368159999139607,2,PQR,001,2022-09-13_12h19.48.513,orientation discrimination task,2022.2.2,59.937952373278115,
1,0,1,0,20.179247100371867,21.17937540030107,21.17937540030107,up,1,0.7035517995245755,0,PQR,001,2022-09-13_12h19.48.513,orientation discrimination task,2022.2.2,59.937952373278115,
2,0,2,0,21.912804800085723,22.91293300036341,22.91293300036341,down,1,0.7821106999181211,-5,PQR,001,2022-09-13_12h19.48.513,orientation discrimination task,2022.2.2,59.937952373278115,
3,0,3,0,23.71316249994561,24.713438600301743,24.713438600301743,down,1,1.146569199860096,2,PQR,001,2022-09-13_12h19.48.513,orientation discrimination task,2022.2.2,59.937952373278115,
4,0,4,0,25.880494500044733,26.88048360031098,26.88048360031098,down,0,0.5527665000408888,0,PQR,001,2022-09-13_12h19.48.513,orientation discrimination task,2022.2.2,59.937952373278115,
5,0,5,0,27.464100200217217,28.464454300235957,28.464454300235957,up,1,0.6711377999745309,0,PQR,001,2022-09-13_12h19.48.513,orientation discrimination task,2022.2.2,59.937952373278115,
6,0,6,0,29.164453700184822,30.16460260003805,30.16460260003805,up,1,0.5422583995386958,0,PQR,001,2022-09-13_12h19.48.513,orientation discrimination task,2022.2.2,59.937952373278115,
7,0,7,0,30.731486900243908,31.73183840001002,31.73183840001002,up,1,0.7163301999680698,0,PQR,001,2022-09-13_12h19.48.513,orientation discrimination task,2022.2.2,59.937952373278115,
8,0,8,0,32.465171500109136,33.465350300073624,33.465350300073624,up,1,0.513041699770838,0,PQR,001,2022-09-13_12h19.48.513,orientation discrimination task,2022.2.2,59.937952373278115,
9,0,9,0,33.99880650034174,35.065784899983555,35.065784899983555,up,1,0.6479430999606848,0,PQR,001,2022-09-13_12h19.48.513,orientation discrimination task,2022.2.2,59.937952373278115,
10,0,10,0,35.732740400359035,36.73282380029559,36.73282380029559,down,1,0.6213309001177549,-5,PQR,001,2022-09-13_12h19.48.513,orientation discrimination task,2022.2.2,59.937952373278115,
11,0,11,0,37.38296050019562,38.383236499968916,38.383236499968916,up,1,0.47115409979596734,0,PQR,001,2022-09-13_12h19.48.513,orientation discrimination task,2022.2.2,59.937952373278115,
12,0,12,0,38.88338280003518,39.88350800005719,39.88350800005719,down,1,1.0270667998120189,2,PQR,001,2022-09-13_12h19.48.513,orientation discrimination task,2022.2.2,59.937952373278115,
13,0,13,0,40.93389079999179,41.93419180018827,41.93419180018827,up,1,0.7159092999063432,0,PQR,001,2022-09-13_12h19.48.513,orientation discrimination task,2022.2.2,59.937952373278115,
14,0,14,0,42.667495999950916,43.66777730034664,43.66777730034664,up,1,0.7781533002853394,0,PQR,001,2022-09-13_12h19.48.513,orientation discrimination task,2022.2.2,59.937952373278115,
