trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,num_distr,fixation.started,target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,10,21.828503900091164,21.828503900091164,0.14340890001039952,[0.024739583333333332],[-0.024739583333333332],[1],[0],[0],[2.6217315999092534],['target'],PQR,001,2022-09-28_11h29.10.015,visual search,2022.2.2,60.045418350767946,
1,0,1,0,10,24.484800799982622,24.484800799982622,0.05453169997781515,[-0.05078125],[0.3776041666666667],[1],[0],[0],[1.6981143000302836],['target'],PQR,001,2022-09-28_11h29.10.015,visual search,2022.2.2,60.045418350767946,
2,0,2,0,5,26.211036000051536,26.211036000051536,0.031719000078737736,[0.17578125],[-0.0859375],[1],[0],[0],[1.719022999983281],['target'],PQR,001,2022-09-28_11h29.10.015,visual search,2022.2.2,60.045418350767946,
3,0,3,0,5,27.964080100064166,27.964080100064166,0.02789079991634935,[-0.3984375],[-0.3528645833333333],[1],[0],[0],[2.028894599992782],['target'],PQR,001,2022-09-28_11h29.10.015,visual search,2022.2.2,60.045418350767946,
4,0,4,0,5,30.02487409999594,30.02487409999594,0.028266600100323558,[-0.265625],[0.3763020833333333],[1],[0],[0],[1.6008549999678507],['target'],PQR,001,2022-09-28_11h29.10.015,visual search,2022.2.2,60.045418350767946,
5,0,5,0,10,31.692546600010246,31.692546600010246,0.05290350003633648,[-0.19661458333333334],[0.2994791666666667],[1],[0],[0],[1.447986299986951],['target'],PQR,001,2022-09-28_11h29.10.015,visual search,2022.2.2,60.045418350767946,
6,0,6,0,5,33.16635289997794,33.16635289997794,0.028229500050656497,[0.20442708333333334],[-0.053385416666666664],[1],[0],[0],[1.5139651000499725],['target'],PQR,001,2022-09-28_11h29.10.015,visual search,2022.2.2,60.045418350767946,
7,0,7,0,5,34.71349019999616,34.71349019999616,0.028444299940019846,[0.5026041666666666],[0.0078125],[1],[0],[0],[1.5014754999428988],[],PQR,001,2022-09-28_11h29.10.015,visual search,2022.2.2,60.045418350767946,
8,0,8,0,5,36.26066630007699,36.26066630007699,0.03511430008802563,[0.20963541666666666],[0.3111979166666667],[1],[0],[0],[1.8050333000719547],['target'],PQR,001,2022-09-28_11h29.10.015,visual search,2022.2.2,60.045418350767946,
9,0,9,0,10,38.13733100006357,38.13733100006357,0.05629189999308437,[-0.3502604166666667],[0.3828125],[1],[0],[0],[1.8173777000047266],['target'],PQR,001,2022-09-28_11h29.10.015,visual search,2022.2.2,60.045418350767946,
10,0,10,0,10,40.016579600051045,40.016579600051045,0.05584299995098263,[0.40234375],[0.3411458333333333],[1],[0],[0],[2.321996200014837],['target'],PQR,001,2022-09-28_11h29.10.015,visual search,2022.2.2,60.045418350767946,
11,0,11,0,5,42.36479520006105,42.36479520006105,0.029190799919888377,[0.2513020833333333],[-0.028645833333333332],[1],[0],[0],[1.8538047999609262],['target'],PQR,001,2022-09-28_11h29.10.015,visual search,2022.2.2,60.045418350767946,
12,0,12,0,10,44.28913320007268,44.28913320007268,0.05443890008609742,[0.453125],[0.40234375],[1],[0],[0],[1.4065374999772757],['target'],PQR,001,2022-09-28_11h29.10.015,visual search,2022.2.2,60.045418350767946,
13,0,13,0,10,45.75311980000697,45.75311980000697,0.053752000094391406,[0.4205729166666667],[-0.03125],[1],[0],[0],[1.473780500004068],['target'],PQR,001,2022-09-28_11h29.10.015,visual search,2022.2.2,60.045418350767946,
14,0,14,0,5,47.26254830008838,47.26254830008838,0.032417600043118,[0.4192708333333333],[0.14322916666666666],[1],[0],[0],[1.3671301000285894],['target'],PQR,001,2022-09-28_11h29.10.015,visual search,2022.2.2,60.045418350767946,
15,0,15,0,10,48.73548110004049,48.73548110004049,0.08876959991175681,[-0.06380208333333333],[0.21223958333333334],[1],[0],[0],[1.758553000050597],['target'],PQR,001,2022-09-28_11h29.10.015,visual search,2022.2.2,60.045418350767946,
16,0,16,0,10,50.55245040007867,50.55245040007867,0.05506250006146729,[0.3463541666666667],[0.18489583333333334],[1],[0],[0],[1.483613200020045],['target'],PQR,001,2022-09-28_11h29.10.015,visual search,2022.2.2,60.045418350767946,
17,0,17,0,5,52.06193359999452,52.06193359999452,0.028877599979750812,[0.05859375],[-0.4739583333333333],[1],[0],[0],[1.9165862000081688],['target'],PQR,001,2022-09-28_11h29.10.015,visual search,2022.2.2,60.045418350767946,
18,0,18,0,5,54.04070960008539,54.04070960008539,0.04612399998586625,[-0.484375],[-0.08854166666666667],[1],[0],[0],[1.6904604999581352],['target'],PQR,001,2022-09-28_11h29.10.015,visual search,2022.2.2,60.045418350767946,
19,0,19,0,5,55.79525399999693,55.79525399999693,0.05155410000588745,[0.21223958333333334],[-0.11197916666666667],[1],[0],[0],[1.5357697000727057],['target'],PQR,001,2022-09-28_11h29.10.015,visual search,2022.2.2,60.045418350767946,
20,0,20,0,10,57.43689260003157,57.43689260003157,0.08218589995522052,[0.016927083333333332],[-0.3151041666666667],[1],[0],[0],[1.6070703999139369],['target'],PQR,001,2022-09-28_11h29.10.015,visual search,2022.2.2,60.045418350767946,
21,0,21,0,10,59.096375700086355,59.096375700086355,0.05286650010384619,[0.20572916666666666],[0.13411458333333334],[1],[0],[0],[1.39702859998215],['target'],PQR,001,2022-09-28_11h29.10.015,visual search,2022.2.2,60.045418350767946,
22,0,22,0,10,60.59115380002186,60.59115380002186,0.07165150006767362,[0.4361979166666667],[-0.09114583333333333],[1],[0],[0],[1.5330303999362513],['target'],PQR,001,2022-09-28_11h29.10.015,visual search,2022.2.2,60.045418350767946,
