2.9246 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
17.0254 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1366, 768]. Using actual size
18.1403 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001D053FF70D0>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000001D054EE3250>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1366,  768]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
18.1406 	EXP 	window1: mouseVisible = True
18.1409 	EXP 	window1: mouseVisible = False
18.1410 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
18.1411 	EXP 	window1: recordFrameIntervals = False
18.3054 	EXP 	window1: recordFrameIntervals = True
18.4892 	EXP 	Screen (0) actual frame rate measured at 59.99Hz
18.4893 	EXP 	window1: recordFrameIntervals = False
23.6052 	EXP 	Created fixation = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-1.0, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='fixation', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([10., 10.]), units='pix', vertices=ndarray(...), win=Window(...), windingRule=None)
23.6333 	EXP 	Created grating = GratingStim(__class__=<class 'psychopy.visual.grating.GratingStim'>, anchor='center', autoDraw=False, autoLog=True, blendmode='avg', color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, interpolate=True, mask='circle', maskParams=None, name='grating', opacity=1.0, ori=0.0, phase=array([0., 0.]), pos=array([0., 0.]), rgbPedestal=array([0., 0., 0.]), sf=array([5., 5.]), size=array([0.1, 0.1]), tex='sin', texRes=128.0, units='height', win=Window(...))
23.6584 	EXP 	Imported C:/Users/admin/Documents/Psychopy Experiments/tutorial 1/conditions.xlsx as conditions, 1 conditions, 5 params
24.7159 	EXP 	window1: recordFrameIntervals = False
24.7312 	EXP 	fixation: autoDraw = True
24.7315 	EXP 	window1: recordFrameIntervals = False
25.7275 	EXP 	grating: autoDraw = True
25.7275 	EXP 	grating: tex = 'sin'
25.7396 	EXP 	fixation: autoDraw = False
26.0423 	EXP 	grating: autoDraw = False
26.1629 	EXP 	window1: recordFrameIntervals = False
26.1659 	DATA 	Keypress: right
26.1752 	EXP 	fixation: autoDraw = False
26.1752 	EXP 	grating: autoDraw = False
26.1756 	EXP 	window1: recordFrameIntervals = False
27.1725 	EXP 	fixation: autoDraw = True
28.1719 	EXP 	fixation: autoDraw = False
28.1719 	EXP 	grating: autoDraw = True
28.1719 	EXP 	grating: tex = 'sin'
28.4721 	EXP 	grating: autoDraw = False
28.5404 	EXP 	window1: recordFrameIntervals = False
28.5414 	DATA 	Keypress: right
28.5553 	EXP 	fixation: autoDraw = False
